                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 1.2803,                 1.9324,                 1.0128,                 1.1653,                0.86346,                0.48745,                0.53859,                0.37875,                0.81967,                0.50763,                0.55001,                0.37485,                 1.0851,                 1.6339,                0.93134,                 1.0935,              0.0072775,              0.0072775,              0.0072775
                     24,                 1.2479,                 1.9448,                 1.0111,                 1.1429,                0.86805,                0.32998,                0.35886,                0.27483,                  0.865,                0.33031,                0.35763,                0.27376,                 1.0451,                 1.5864,                0.95483,                 1.0706,              0.0071538,              0.0071538,              0.0071538
                     25,                 1.2572,                 1.9969,                0.99493,                 1.1297,                0.90991,                0.33508,                0.36674,                0.28435,                0.90577,                0.33541,                0.36445,                0.27592,                 0.9729,                 1.5931,                0.93421,                 1.0373,                0.00703,                0.00703,                0.00703
                     26,                 1.2829,                 2.0975,                0.97966,                 1.1466,                0.81194,                0.50506,                0.56292,                 0.3993,                0.80152,                0.50573,                0.55272,                0.38498,                0.99219,                 1.5531,                0.89749,                 1.0503,              0.0069063,              0.0069063,              0.0069063
                     27,                 1.2554,                 1.9448,                0.98144,                 1.1306,                0.90115,                0.80023,                0.88917,                0.65094,                0.91415,                0.78251,                0.88997,                0.60238,                0.96607,                  1.573,                0.83752,                 1.0479,              0.0067825,              0.0067825,              0.0067825
                     28,                 1.1772,                  1.878,                0.94654,                 1.1103,                0.90062,                0.66922,                0.73004,                 0.5186,                0.90826,                0.67402,                0.72774,                0.49726,                0.97406,                 1.5072,                0.82412,                 1.0285,              0.0066587,              0.0066587,              0.0066587
                     29,                 1.2547,                 1.9582,                0.94308,                 1.1457,                0.96176,                0.78536,                0.91059,                0.64117,                0.93807,                0.78381,                0.89466,                0.61894,                 1.0186,                 1.5468,                0.79863,                 1.0575,               0.006535,               0.006535,               0.006535
                     30,                 1.2075,                 1.9271,                 0.9422,                 1.1188,                 0.9184,                0.66287,                0.74093,                0.51591,                0.89445,                0.67078,                0.72972,                0.50095,                0.99093,                 1.5483,                 0.8227,                  1.052,              0.0064112,              0.0064112,              0.0064112
                     31,                 1.2546,                 1.9355,                 0.9554,                  1.136,                0.89814,                0.66419,                0.72988,                0.51653,                0.89757,                0.66495,                0.73314,                0.51343,                 1.0067,                 1.4965,                0.79919,                 1.0541,              0.0062875,              0.0062875,              0.0062875
                     32,                 1.2301,                 1.9826,                0.94968,                 1.1421,                0.89398,                0.52079,                0.56976,                0.42506,                 0.8958,                0.50169,                0.55795,                0.40549,                0.92574,                 1.4419,                0.82575,                 1.0232,              0.0061637,              0.0061637,              0.0061637
                     33,                 1.2101,                 1.9523,                0.93513,                 1.1099,                0.86487,                0.51891,                0.57396,                0.41109,                0.79107,                0.51716,                0.55153,                0.38021,                0.96654,                 1.5577,                 0.8267,                  1.047,                0.00604,                0.00604,                0.00604
                     34,                 1.2181,                 1.9348,                0.90718,                 1.1267,                 0.8743,                0.84116,                 0.9233,                 0.6723,                0.93684,                 0.7862,                0.90786,                0.63902,                0.93312,                 1.4784,                0.77208,                 1.0145,              0.0059163,              0.0059163,              0.0059163
